yearweek,tavg,tmin,tmax,prcp,snow,wspd,rain_days_count,region
201600,1.3333333333333333,-3.8,8.3,2.8,3.0,14.866666666666667,2,Boston
201601,-0.7571428571428571,-13.2,7.2,0.0,0.0,17.214285714285715,0,Boston
201602,1.0857142857142856,-6.0,14.4,37.4,11.0,19.900000000000002,3,Boston
201603,-2.2285714285714286,-8.8,6.1,36.3,49.0,23.342857142857145,3,Boston
201604,0.7571428571428571,-7.7,10.6,9.4,64.0,18.514285714285712,1,Boston
201605,6.457142857142856,-3.8,18.3,33.1,5.0,19.5,3,Boston
201606,-3.1285714285714286,-13.2,6.7,13.8,178.0,19.071428571428573,2,Boston
201607,-4.057142857142857,-22.7,12.2,23.400000000000002,75.0,19.74285714285714,2,Boston
201608,5.7,-3.2,16.7,35.900000000000006,0.0,22.82857142857143,3,Boston
201609,2.9857142857142853,-6.0,17.8,9.700000000000001,0.0,22.071428571428573,2,Boston
201610,6.628571428571428,-4.9,25.0,12.5,0.0,15.457142857142857,2,Boston
201611,8.0,1.7,17.8,37.7,0.0,20.114285714285717,5,Boston
201612,3.685714285714286,-3.2,17.2,10.2,8.0,18.714285714285715,3,Boston
201613,8.042857142857143,1.1,21.7,11.700000000000001,0.0,23.542857142857144,2,Boston
201614,4.371428571428572,-5.5,15.0,57.1,50.0,20.728571428571428,4,Boston
201615,7.085714285714286,-0.5,15.6,5.8999999999999995,0.0,19.914285714285715,2,Boston
201616,10.857142857142858,3.9,25.6,0.5,0.0,15.585714285714285,1,Boston
201617,9.385714285714286,2.8,17.8,9.2,0.0,15.728571428571428,2,Boston
201618,8.357142857142858,5.0,12.8,33.2,0.0,16.52857142857143,6,Boston
201619,13.528571428571428,7.8,23.3,3.3,0.0,16.114285714285717,2,Boston
201620,14.214285714285714,5.6,25.0,0.0,0.0,20.057142857142857,0,Boston
201621,16.714285714285715,10.6,31.1,6.6,0.0,12.414285714285715,1,Boston
201622,18.842857142857145,11.1,33.3,28.7,0.0,14.357142857142858,1,Boston
201623,19.157142857142855,12.2,30.0,26.900000000000002,0.0,18.2,2,Boston
201624,19.442857142857143,12.2,29.4,3.5,0.0,18.057142857142857,2,Boston
201625,20.87142857142857,13.9,30.6,0.5,0.0,17.071428571428573,1,Boston
201626,22.314285714285713,15.0,30.6,7.8999999999999995,0.0,16.414285714285715,3,Boston
201627,22.357142857142858,16.1,34.4,6.3,0.0,15.685714285714287,2,Boston
201628,21.785714285714285,15.0,35.6,5.1,0.0,15.328571428571427,2,Boston
201629,26.099999999999998,18.3,36.7,0.3,0.0,17.342857142857145,1,Boston
201630,26.514285714285712,19.4,34.4,1.5,0.0,14.971428571428572,1,Boston
201631,22.342857142857145,16.7,31.7,4.8,0.0,15.171428571428569,2,Boston
201632,26.085714285714285,20.0,36.7,6.6,0.0,17.52857142857143,3,Boston
201633,25.62857142857143,19.4,35.6,13.2,0.0,16.728571428571428,2,Boston
201634,23.514285714285712,16.1,32.8,22.900000000000002,0.0,17.5,2,Boston
201635,23.25714285714286,17.8,32.2,0.5,0.0,16.685714285714287,1,Boston
201636,20.214285714285715,15.6,33.9,6.2,0.0,17.642857142857142,3,Boston
201637,20.814285714285713,12.2,32.2,2.6,0.0,17.942857142857143,3,Boston
201638,21.571428571428573,12.8,28.3,17.0,0.0,14.242857142857144,2,Boston
201639,14.87142857142857,8.9,22.2,8.899999999999999,0.0,20.814285714285713,2,Boston
201640,14.071428571428571,8.9,20.0,18.8,0.0,13.885714285714286,2,Boston
201641,13.1,6.7,22.2,47.0,0.0,15.685714285714285,2,Boston
201642,16.114285714285714,5.6,27.2,33.8,0.0,15.700000000000001,3,Boston
201643,9.257142857142858,1.1,18.3,35.8,0.0,23.75714285714286,3,Boston
201644,10.585714285714285,1.1,21.1,5.3,0.0,14.342857142857143,2,Boston
201645,8.514285714285714,1.7,16.7,2.5999999999999996,0.0,16.114285714285714,2,Boston
201646,9.828571428571427,1.1,18.9,25.900000000000002,0.0,17.7,2,Boston
201647,4.385714285714285,-1.0,10.6,4.1,0.0,19.0,3,Boston
201648,6.6571428571428575,0.6,14.4,41.9,0.0,17.95714285714286,3,Boston
201649,3.242857142857143,-3.8,6.7,5.6,0.0,17.414285714285715,2,Boston
201650,-1.6285714285714286,-15.5,6.7,11.2,3.0,20.271428571428572,2,Boston
201651,0.5142857142857145,-7.7,13.9,16.8,5.0,17.12857142857143,3,Boston
201652,3.966666666666667,-4.3,14.4,39.5,0.0,20.349999999999998,3,Boston
201700,2.4,-1.0,5.0,0.0,5.0,28.4,0,Boston
201701,-0.3,-3.2,5.6,1.8,3.0,22.7,1,Boston
201101,1.8571428571428572,-4.4,12.2,5.1,0.0,10.885714285714286,2,Philadelphia
201102,-3.1714285714285713,-11.1,0.0,14.2,47.0,15.442857142857141,3,Philadelphia
201103,0.028571428571428564,-7.2,6.7,24.9,17.0,15.328571428571427,4,Philadelphia
201104,-3.2714285714285714,-13.3,3.9,41.699999999999996,60.0,12.342857142857143,3,Philadelphia
201105,-0.7285714285714285,-7.8,5.6,18.400000000000002,121.0,13.314285714285713,3,Philadelphia
201106,0.14285714285714277,-8.9,8.9,6.8999999999999995,35.0,15.057142857142859,3,Philadelphia
201107,6.628571428571428,-5.6,20.6,0.0,0.0,18.97142857142857,0,Philadelphia
201108,2.9,-5.6,17.2,35.4,15.0,19.385714285714283,4,Philadelphia
201109,4.771428571428571,-5.6,15.6,7.1,0.0,15.785714285714286,1,Philadelphia
